Kode_Desa,n_flagged_records,dominant_typology,top_rda_feature,persistence_score,years_flagged,Nama_Desa
1508112002,5,T1_Markup,activity_category,1.0,3,Lubuk Benteng
1508112005,5,T7_CrossCatDump,avg_completion,1.0,3,Air Gemuruh
1508062015,4,T2_Ghost,avg_completion,1.0,3,Sekampil
1508072002,9,T2_Ghost,avg_completion,1.0,3,Tuo Lbk. Mengkuang
1508072006,3,T2_Ghost,activity_category,1.0,3,Muaro Tebo Pandak
1508072007,4,T1_Markup,activity_category,1.0,3,Rantau Tipu
1508082005,5,T2_Ghost,cost_deviation_by_category,1.0,3,Bedaro
1508082007,10,T7_CrossCatDump,activity_category,1.0,3,Datar
1508082009,5,T1_Markup,avg_completion,1.0,3,Pekan Jum'at
1501212001,4,T1_Markup,swakelola_high_value,1.0,3,Koto Mebai
1501212006,5,T7_CrossCatDump,avg_completion,1.0,3,Koto Mudik
1502012010,4,Unclassified,avg_completion,1.0,3,Koto Renah
1502022008,5,T7_CrossCatDump,avg_completion,1.0,3,Mudo
1502032018,3,T2_Ghost,avg_completion,1.0,3,Rantau Panjang
1508052017,11,T1_Markup,cost_per_unit,1.0,3,Pasar Rantau Embacang
1508052019,5,T7_CrossCatDump,cost_deviation_by_category,1.0,3,Tenam
1508062002,6,T1_Markup,activity_category,1.0,3,Dwi Karya Bakti
1508062009,6,T2_Ghost,avg_completion,1.0,3,Batu Kerbau
1508042003,7,T7_CrossCatDump,avg_completion,1.0,3,Pulau Jelmu
1508042004,6,T2_Ghost,avg_completion,1.0,3,Sirih Sekapur
1508052007,6,T7_CrossCatDump,avg_completion,1.0,3,Sungai Gambir
1507092002,4,T1_Markup,activity_category,1.0,3,Pematang Rahim
1507092006,4,T1_Markup,avg_completion,1.0,3,Sungai Beras
1507112003,4,T1_Markup,avg_completion,1.0,3,Rantau Makmur
1508012001,2,T7_CrossCatDump,avg_completion,1.0,2,Pedukun
1508012002,8,T7_CrossCatDump,swakelola_high_value,1.0,3,Lubuk Niur
1508012003,6,T7_CrossCatDump,avg_completion,1.0,3,Teluk Kecimbung
1508012009,5,T1_Markup,avg_completion,1.0,3,Perenti Luweh
1508012015,5,T1_Markup,avg_completion,1.0,3,Renah Jelmu
1508012016,5,Unclassified,cost_deviation_by_category,1.0,3,Koto Jayo
1502062007,6,T7_CrossCatDump,cost_deviation_by_category,1.0,3,Rejo Sari
1502072014,4,T7_CrossCatDump,activity_category,1.0,3,Muaro Seketuk
1502082003,5,T7_CrossCatDump,avg_completion,1.0,3,Muara Delang
1506132005,4,T1_Markup,activity_category,1.0,3,Margo Rukun
1507032015,4,T1_Markup,avg_completion,1.0,3,Sungai Tawar
1506082002,4,T2_Ghost,avg_completion,1.0,3,Pulaupauh
1506122002,5,T1_Markup,cost_per_unit,1.0,3,Sungaidualap
1506042014,4,T2_Ghost,activity_category,1.0,3,Telukkulbi
1506042016,3,Unclassified,avg_completion,1.0,3,Sungaiterap
1506062008,4,T1_Markup,avg_completion,1.0,3,Sungaikeruh
1502112004,4,T2_Ghost,cost_per_unit,1.0,3,Nalo Gedang
