No,Kode_Provinsi,Provinsi,Kode_Lokasi,Kabupaten_Kota,Kode_Desa,Nama_Desa,Pagu
471,10,JAMBI,1004,KAB. SAROLANGUN,1503082003,Pulau Lintang,879073000
472,10,JAMBI,1004,KAB. SAROLANGUN,1503082004,Tanjung,852563000
473,10,JAMBI,1004,KAB. SAROLANGUN,1503082005,Bangun Jayo,666352000
474,10,JAMBI,1004,KAB. SAROLANGUN,1503082006,Teluk kecimbung,1026452000
475,10,JAMBI,1004,KAB. SAROLANGUN,1503082007,Pulau Melako,705642000
476,10,JAMBI,1004,KAB. SAROLANGUN,1503082008,Batu Penyabung,697852000
477,10,JAMBI,1004,KAB. SAROLANGUN,1503082009,Tanjung Gagak,711234000
478,10,JAMBI,1004,KAB. SAROLANGUN,1503082010,Pulau Buayo,719166000
479,10,JAMBI,1004,KAB. SAROLANGUN,1503082012,Dusun Dalam,985285000
480,10,JAMBI,1004,KAB. SAROLANGUN,1503082013,Muara Lati,628577000
481,10,JAMBI,1004,KAB. SAROLANGUN,1503082014,Suka Jadi,650559000
482,10,JAMBI,1004,KAB. SAROLANGUN,1503082015,Teluk Mancur,620407000
483,10,JAMBI,1004,KAB. SAROLANGUN,1503092002,Bukit Tigo,1271912000
484,10,JAMBI,1004,KAB. SAROLANGUN,1503092003,Sungai Gedang,1346183000
485,10,JAMBI,1004,KAB. SAROLANGUN,1503092004,Payo Lebar,1160954000
486,10,JAMBI,1004,KAB. SAROLANGUN,1503092005,Bukit Murau,780877000
487,10,JAMBI,1004,KAB. SAROLANGUN,1503092006,Perdamaian,758807000
488,10,JAMBI,1004,KAB. SAROLANGUN,1503092007,Pasar Singkut,1383891000
489,10,JAMBI,1004,KAB. SAROLANGUN,1503092008,Siliwangi,1337568000
490,10,JAMBI,1004,KAB. SAROLANGUN,1503092009,Simpang Nibung,887949000
491,10,JAMBI,1004,KAB. SAROLANGUN,1503092010,Bukit Talang Mas,865745000
492,10,JAMBI,1004,KAB. SAROLANGUN,1503092011,Bukit Bumi Raya,1205010000
493,10,JAMBI,1004,KAB. SAROLANGUN,1503092012,Argo Sari,761739000
494,10,JAMBI,1004,KAB. SAROLANGUN,1503092013,Sendang Sari,786188000
495,10,JAMBI,1004,KAB. SAROLANGUN,1503102001,Kampung Tujuh,1013420000
496,10,JAMBI,1004,KAB. SAROLANGUN,1503102002,Lubuk Resam,1056385000
497,10,JAMBI,1004,KAB. SAROLANGUN,1503102003,Teluk Rendah,766282000
498,10,JAMBI,1004,KAB. SAROLANGUN,1503102004,Teluk Tigo,733397000
499,10,JAMBI,1004,KAB. SAROLANGUN,1503102005,Lubuk Resam Hilir,841728000
500,10,JAMBI,1004,KAB. SAROLANGUN,1503102006,Pemuncak,1104340000
501,10,JAMBI,1004,KAB. SAROLANGUN,1503102007,Tambang Tinggi,771473000
502,10,JAMBI,1004,KAB. SAROLANGUN,1503102008,Tendah,739885000
503,10,JAMBI,1004,KAB. SAROLANGUN,1503102009,Sungai Keramat,713943000
504,10,JAMBI,1004,KAB. SAROLANGUN,1503102010,Sekamis,692372000
505,10,JAMBI,1004,KAB. SAROLANGUN,1503112001,Guruh Baru,1031959000
506,10,JAMBI,1004,KAB. SAROLANGUN,1503112002,Petiduran Baru,786596000
507,10,JAMBI,1004,KAB. SAROLANGUN,1503112003,Sungai Butang,933669000
508,10,JAMBI,1004,KAB. SAROLANGUN,1503112004,Butang Baru,663090000
509,10,JAMBI,1004,KAB. SAROLANGUN,1503112005,Suka Maju,757397000
510,10,JAMBI,1004,KAB. SAROLANGUN,1503112006,Jati Baru,674102000
511,10,JAMBI,1004,KAB. SAROLANGUN,1503112007,Jati Baru Mudo,717476000
512,10,JAMBI,1004,KAB. SAROLANGUN,1503112008,Meranti Baru,661369000
513,10,JAMBI,1004,KAB. SAROLANGUN,1503112009,Meranti Jaya,698024000
514,10,JAMBI,1004,KAB. SAROLANGUN,1503112010,Jernang Baru,792435000
515,10,JAMBI,1005,KAB. KERINCI,1501012001,Selam Paung,771235000
516,10,JAMBI,1005,KAB. KERINCI,1501012002,Air Mumu,839085000
517,10,JAMBI,1005,KAB. KERINCI,1501012003,Lempur Mudik,949010000
518,10,JAMBI,1005,KAB. KERINCI,1501012005,Masgo,821474000
519,10,JAMBI,1005,KAB. KERINCI,1501012006,Lempur Hilir,654116000
520,10,JAMBI,1005,KAB. KERINCI,1501012011,Kebun Baru,674495000
521,10,JAMBI,1005,KAB. KERINCI,1501012012,Perikan Tengah,819680000
522,10,JAMBI,1005,KAB. KERINCI,1501012013,Dusun Baru Lempur,756496000
523,10,JAMBI,1005,KAB. KERINCI,1501012016,Sungaihangat,697331000
524,10,JAMBI,1005,KAB. KERINCI,1501012018,Manjunto Lempur,670858000
525,10,JAMBI,1005,KAB. KERINCI,1501012019,Kebun Lima,719250000
526,10,JAMBI,1005,KAB. KERINCI,1501022001,Sanggaran Agung,638970000
527,10,JAMBI,1005,KAB. KERINCI,1501022002,Kota Baru Sanggaran Agung,702762000
528,10,JAMBI,1005,KAB. KERINCI,1501022003,Pendung Talang Genting,715224000
529,10,JAMBI,1005,KAB. KERINCI,1501022004,Seleman,667370000
530,10,JAMBI,1005,KAB. KERINCI,1501022005,Tebing Tinggi,740407000
531,10,JAMBI,1005,KAB. KERINCI,1501022006,Cupak,681625000
532,10,JAMBI,1005,KAB. KERINCI,1501022007,Tanjungtanah,736256000
533,10,JAMBI,1005,KAB. KERINCI,1501022008,Koto Tengah,826963000
534,10,JAMBI,1005,KAB. KERINCI,1501022013,Simpang Empat,634451000
535,10,JAMBI,1005,KAB. KERINCI,1501022014,Talang Kemulun,708672000
536,10,JAMBI,1005,KAB. KERINCI,1501022015,Dusun Baru Tanjung Tanah,674107000
537,10,JAMBI,1005,KAB. KERINCI,1501022016,Pasar Sore Seleman,655681000
538,10,JAMBI,1005,KAB. KERINCI,1501022018,Tanjungharapan,652261000
539,10,JAMBI,1005,KAB. KERINCI,1501042008,Hiang Tinggi,629780000
540,10,JAMBI,1005,KAB. KERINCI,1501042009,Ambai Atas,770503000
541,10,JAMBI,1005,KAB. KERINCI,1501042010,Tanjungmudo,923535000
542,10,JAMBI,1005,KAB. KERINCI,1501042011,Pendung Tengah,863008000
543,10,JAMBI,1005,KAB. KERINCI,1501042012,Pendung Hilir,584745000
544,10,JAMBI,1005,KAB. KERINCI,1501042013,Koto Baru Hiang,723986000
545,10,JAMBI,1005,KAB. KERINCI,1501042014,Betung Kuning,696531000
546,10,JAMBI,1005,KAB. KERINCI,1501042026,Ambai Bawah,783731000
547,10,JAMBI,1005,KAB. KERINCI,1501042028,Hiang Karya,666622000
548,10,JAMBI,1005,KAB. KERINCI,1501042029,Hiang Lestari,921456000
549,10,JAMBI,1005,KAB. KERINCI,1501042030,Angkasa Pura,890068000
550,10,JAMBI,1005,KAB. KERINCI,1501042031,Hiang Sakti,698279000
551,10,JAMBI,1005,KAB. KERINCI,1501042033,Koto Sekilan Ambai,695079000
552,10,JAMBI,1005,KAB. KERINCI,1501042034,Penawar Tinggi,855076000
553,10,JAMBI,1005,KAB. KERINCI,1501052002,Baru Semurup,637141000
554,10,JAMBI,1005,KAB. KERINCI,1501052004,Koto Dua Lama,687721000
555,10,JAMBI,1005,KAB. KERINCI,1501052012,Koto Di  Air,922740000
556,10,JAMBI,1005,KAB. KERINCI,1501052013,Pasar Semurup,849138000
557,10,JAMBI,1005,KAB. KERINCI,1501052014,Balai,615787000
558,10,JAMBI,1005,KAB. KERINCI,1501052015,Koto Majidin Hilir,946554000
559,10,JAMBI,1005,KAB. KERINCI,1501052016,Pendung Hilir,696853000
560,10,JAMBI,1005,KAB. KERINCI,1501052018,Pendung Mudik,701474000
561,10,JAMBI,1005,KAB. KERINCI,1501052022,Air Tenang,647012000
562,10,JAMBI,1005,KAB. KERINCI,1501052024,Muara Semerah,902967000
563,10,JAMBI,1005,KAB. KERINCI,1501052029,Koto Majidin Mudik,935038000
564,10,JAMBI,1005,KAB. KERINCI,1501052035,Muara Semerah Mudik,918057000
565,10,JAMBI,1005,KAB. KERINCI,1501052036,Sawahan Koto Majidin,686753000
566,10,JAMBI,1005,KAB. KERINCI,1501052037,Sawahan Jaya,604372000
567,10,JAMBI,1005,KAB. KERINCI,1501052038,Koto Majidin Di Air,681277000
568,10,JAMBI,1005,KAB. KERINCI,1501052039,Pendung Tengah,916154000
569,10,JAMBI,1005,KAB. KERINCI,1501062010,Sungaibetung Hilir,679202000
570,10,JAMBI,1005,KAB. KERINCI,1501062011,Sungaibatu Gantih,735910000
571,10,JAMBI,1005,KAB. KERINCI,1501062012,Tanjunggenting,695595000
572,10,JAMBI,1005,KAB. KERINCI,1501062013,Simpang Tutup,701757000
573,10,JAMBI,1005,KAB. KERINCI,1501062014,Suko Pangkat,729352000
574,10,JAMBI,1005,KAB. KERINCI,1501062015,Sungaibetung Mudik,733270000
575,10,JAMBI,1005,KAB. KERINCI,1501062016,Danautinggi,826884000
576,10,JAMBI,1005,KAB. KERINCI,1501062017,Sungaigelampeh,757249000
577,10,JAMBI,1005,KAB. KERINCI,1501062018,Siulak Deras Mudik,685637000
578,10,JAMBI,1005,KAB. KERINCI,1501062019,Siulak Tenang,760595000
579,10,JAMBI,1005,KAB. KERINCI,1501062039,Sungai Batu Gantih Hilir,760460000
580,10,JAMBI,1005,KAB. KERINCI,1501062040,Baru Sungai Betung Mudik,748533000
581,10,JAMBI,1005,KAB. KERINCI,1501062041,Tanjunggenting Mudik,714900000
582,10,JAMBI,1005,KAB. KERINCI,1501062042,Air Betung,669507000
583,10,JAMBI,1005,KAB. KERINCI,1501062043,Ujung Ladang,616145000
584,10,JAMBI,1005,KAB. KERINCI,1501072004,Tarutung,832120000
585,10,JAMBI,1005,KAB. KERINCI,1501072006,Lubuk Paku,737967000
586,10,JAMBI,1005,KAB. KERINCI,1501072007,Tamiai,954409000
587,10,JAMBI,1005,KAB. KERINCI,1501072008,Pematang Lingkung,768724000
588,10,JAMBI,1005,KAB. KERINCI,1501072009,Pasar Tamiai,735682000
589,10,JAMBI,1005,KAB. KERINCI,1501072010,Seberang Merangin,690315000
590,10,JAMBI,1005,KAB. KERINCI,1501072011,Baru Pulau Sangkar,803738000
591,10,JAMBI,1005,KAB. KERINCI,1501072013,Batang Merangin,778611000
592,10,JAMBI,1005,KAB. KERINCI,1501072014,Muara Hemat,705714000
593,10,JAMBI,1005,KAB. KERINCI,1501082001,Jujun,690408000
594,10,JAMBI,1005,KAB. KERINCI,1501082002,Talang Lindung,631318000
595,10,JAMBI,1005,KAB. KERINCI,1501082003,Keluru,656560000
596,10,JAMBI,1005,KAB. KERINCI,1501082004,Pidung,621071000
597,10,JAMBI,1005,KAB. KERINCI,1501082005,Tanjungbatu,617615000
598,10,JAMBI,1005,KAB. KERINCI,1501082006,Benik,672582000
599,10,JAMBI,1005,KAB. KERINCI,1501082007,Kt Tuo P. Tengah,735232000
600,10,JAMBI,1005,KAB. KERINCI,1501082008,Kt. Dian P. Tengah,692943000
601,10,JAMBI,1005,KAB. KERINCI,1501082012,Lempur Danau,651077000
602,10,JAMBI,1005,KAB. KERINCI,1501082013,Dsn. Baru P. Tengah,934036000
603,10,JAMBI,1005,KAB. KERINCI,1501082018,Telago,664736000
604,10,JAMBI,1005,KAB. KERINCI,1501082019,Koto Agung,933462000
605,10,JAMBI,1005,KAB. KERINCI,1501082022,Pulautengah,634723000
606,10,JAMBI,1005,KAB. KERINCI,1501082023,Koto Baru,676157000
607,10,JAMBI,1005,KAB. KERINCI,1501082025,Jembatan Merah Pulau Tengah,907310000
608,10,JAMBI,1005,KAB. KERINCI,1501082026,Limok Manaih Pulau Tengah,683381000
609,10,JAMBI,1005,KAB. KERINCI,1501082027,Pasar Jujun,606184000
610,10,JAMBI,1005,KAB. KERINCI,1501082028,Pancuran Bangko,674283000
611,10,JAMBI,1005,KAB. KERINCI,1501092010,Koto Tuo,690463000
612,10,JAMBI,1005,KAB. KERINCI,1501092011,Sungaitanduk,1011390000
613,10,JAMBI,1005,KAB. KERINCI,1501092012,Kersik Tuo,745468000
614,10,JAMBI,1005,KAB. KERINCI,1501092013,Sangir,678960000
615,10,JAMBI,1005,KAB. KERINCI,1501092014,Koto Baru,656398000
616,10,JAMBI,1005,KAB. KERINCI,1501092015,Koto Panjang,708529000
617,10,JAMBI,1005,KAB. KERINCI,1501092016,Koto Tengah,726192000
618,10,JAMBI,1005,KAB. KERINCI,1501092017,Sungaibendung Air,708368000
619,10,JAMBI,1005,KAB. KERINCI,1501092022,Sungaisampun,617436000
620,10,JAMBI,1005,KAB. KERINCI,1501092024,Bedeng Baru,887658000
621,10,JAMBI,1005,KAB. KERINCI,1501092025,Batang Sangir,709351000
622,10,JAMBI,1005,KAB. KERINCI,1501092030,Sungaidalam,730086000
623,10,JAMBI,1005,KAB. KERINCI,1501092038,Koto Periang,950401000
624,10,JAMBI,1005,KAB. KERINCI,1501092039,Lindung Jaya,911556000
625,10,JAMBI,1005,KAB. KERINCI,1501092041,Renah Kasah,746529000
626,10,JAMBI,1005,KAB. KERINCI,1501092042,Pasar Sungai Tanduk,917225000
627,10,JAMBI,1005,KAB. KERINCI,1501092043,Mekar Sari,985360000
628,10,JAMBI,1005,KAB. KERINCI,1501092045,Mekar Jaya,760234000
629,10,JAMBI,1005,KAB. KERINCI,1501092047,Sangir Tengah,682837000
630,10,JAMBI,1005,KAB. KERINCI,1501092048,Tanjungbungo,660647000
631,10,JAMBI,1005,KAB. KERINCI,1501092049,Bendung Air Timur,653269000
632,10,JAMBI,1005,KAB. KERINCI,1501112001,Kemantan Tinggi,731586000
633,10,JAMBI,1005,KAB. KERINCI,1501112002,Kemantan Kebalai,941438000
634,10,JAMBI,1005,KAB. KERINCI,1501112003,Kemantan Darat,726679000
635,10,JAMBI,1005,KAB. KERINCI,1501112004,Sungaiabu,688583000
636,10,JAMBI,1005,KAB. KERINCI,1501112005,Pondok Sungaiabu,689293000
637,10,JAMBI,1005,KAB. KERINCI,1501112006,Koto Tebat,738973000
638,10,JAMBI,1005,KAB. KERINCI,1501112007,Sungaimedang,1046039000
639,10,JAMBI,1005,KAB. KERINCI,1501112008,Air Hangat,717990000
640,10,JAMBI,1005,KAB. KERINCI,1501112009,Baru Sungai Tutung,733777000
641,10,JAMBI,1005,KAB. KERINCI,1501112010,Pungut Tengah,674237000
642,10,JAMBI,1005,KAB. KERINCI,1501112011,Pungut Hilir,981978000
643,10,JAMBI,1005,KAB. KERINCI,1501112012,Pungut Mudik,813097000
644,10,JAMBI,1005,KAB. KERINCI,1501112014,Kemantan Hilir,725110000
645,10,JAMBI,1005,KAB. KERINCI,1501112015,Sungaitutung,902065000
646,10,JAMBI,1005,KAB. KERINCI,1501112018,Kemantan Agung,701157000
647,10,JAMBI,1005,KAB. KERINCI,1501112019,Sungaideras,690801000
648,10,JAMBI,1005,KAB. KERINCI,1501112020,Kemantan Mudik,697911000
649,10,JAMBI,1005,KAB. KERINCI,1501112021,Simpang Empat Sungai Tutung,921333000
650,10,JAMBI,1005,KAB. KERINCI,1501112022,Baru Sungaideras,713250000
